S.No.,Description,Sub Class,Class,Group,Division,Section
574,"Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers and similar non-threaded products and nuts, bolts, screws and other threaded products)",25991,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
574,"Metal fasteners (nails, rivets, tacks, pins, staples, washers and similar non-threaded products and nuts, bolts, screws and other threaded products) related business activity",25991,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
574,"Services related to metal fasteners (nails, rivets, tacks, pins, staples, washers and similar non-threaded products and nuts, bolts, screws and other threaded products)",25991,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
575,Manufacture of containers such as tins and cans for food products and boxes,25992,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
575,Containers such as tins and cans for food products and boxes related business activity,25992,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
575,Services related to containers such as tins and cans for food products and boxes,25992,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
576,Manufacture of metal cable and other articles made of wire (except for electric transmission),25993,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
576,Metal cable and other articles made wire (except for electric transmission) related business activity,25993,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
576,Services related to metal cable and other articles made wire (except for electric transmission),25993,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
577,"Manufacture of metal household articles (plates, saucers, pots, kettles, saucepans, frying pans and other non-electrical utensils, small hand-operated kitchen appliances and accessories)",25994,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
577,"Metal household articles (plates, saucers, pots, kettles, saucepans, frying pans and other non-electrical utensils, small hand-operated kitchen appliances and accessories) related business activity",25994,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
577,"Services related to metal household articles (plates, saucers, pots, kettles, saucepans, frying pans and other non-electrical utensils, small hand-operated kitchen appliances and accessories)",25994,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
578,"Manufacture of metal sanitaryware such as baths, sinks, washbasins and similar articles",25995,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
578,"Metal sanitaryware such as baths, sinks, washbasins and similar articles related business activity",25995,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
578,"Services related to metal sanitaryware such as baths, sinks, washbasins and similar articles",25995,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
579,"Manufacture of reinforced safes, vaults, strongroom doors, gates and metal goods for office use (other than office furniture) and other purposes",25996,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
579,"Reinforced safes, vaults, strongroom doors, gates and metal goods for office use (other than office furniture) and other purposes related business activity",25996,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
579,"Services related to reinforced safes, vaults, strongroom doors, gates and metal goods for office use (other than office furniture) and other purposes",25996,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
580,Manufacture of other fabricated metal products n.e.c.,25999,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
580,Other fabricated metal products n.e.c. related business activity,25999,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
580,Services related to other fabricated metal products n.e.c.,25999,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
581,"Manufacture of electronic capacitors, resistors, chokes, coils, trasformers (electronic) and similar components",26101,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
581,"Electronic capacitors, resistors, chokes, coils, trasformers (electronic) and similar components related business activity",26101,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
581,"Services related to electronic capacitors, resistors, chokes, coils, trasformers (electronic) and similar components",26101,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
582,"Manufacture of electron tubes, diodes, transistors and related discrete devices",26102,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
582,"Electron tubes, diodes, transistors and related discrete devices related business activity",26102,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
582,"Services related to electron tubes, diodes, transistors and related discrete devices",26102,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
583,"Manufacture of integrated circuits (analog, digital or hybrid)",26103,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
583,"Integrated circuits (analog, digital or hybrid) related business activity",26103,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
583,"Services related to integrated circuits (analog, digital or hybrid)",26103,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
584,"Manufacture of bare printed circuit boards, loading of components onto printed circuit boards; manufacture of interface cards (e.g. sound, video, controllers, network, modems)",26104,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
584,"Bare printed circuit boards, loading components onto printed circuit boards; interface cards (e.g. sound, video, controllers, network, modems) related business activity",26104,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
584,"Services related to bare printed circuit boards, loading components onto printed circuit boards; interface cards (e.g. sound, video, controllers, network, modems)",26104,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
585,"Manufacture of display components (plasma, polymer, LCD, LED)",26105,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
585,"Display components (plasma, polymer, lcd, led) related business activity",26105,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
585,"Services related to display components (plasma, polymer, lcd, led)",26105,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
586,"Manufacture of printer cables, monitor cables, USB cables, connectors etc.",26106,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
586,"Printer cables, monitor cables, usb cables, connectors etc. related business activity",26106,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
586,"Services related to printer cables, monitor cables, usb cables, connectors etc.",26106,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
587,Manufacture of microprocessors,26107,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
587,Microprocessors related business activity,26107,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
587,Services related to microprocessors,26107,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
588,Manufacture of other electronic components n.e.c,26109,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
588,Other electronic components n.e.c related business activity,26109,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
588,Services related to other electronic components n.e.c,26109,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
589,"Manufacture of desktop computers, laptop computers, hand-held computers (e.g. PDA), mainframe computers and computer servers",26201,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
589,"Desktop computers, laptop computers, hand-held computers (e.g. pda), mainframe computers and computer servers related business activity",26201,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
589,"Services related to desktop computers, laptop computers, hand-held computers (e.g. pda), mainframe computers and computer servers",26201,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
590,"Manufacture of magnetic and optical storage devices such as magnetic disk drives, flash drives, CD, DVD and other storage devices",26202,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
590,"Magnetic and optical storage devices such as magnetic disk drives, flash drives, cd, dvd and other storage devices related business activity",26202,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
590,"Services related to magnetic and optical storage devices such as magnetic disk drives, flash drives, cd, dvd and other storage devices",26202,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
591,"Manufacture of monitors, keyboards, all types of mice, joysticks, and trackball accessories, dedicated computer terminals etc.",26203,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
591,"Monitors, keyboards, all types mice, joysticks, and trackball accessories, dedicated computer terminals etc. related business activity",26203,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
591,"Services related to monitors, keyboards, all types mice, joysticks, and trackball accessories, dedicated computer terminals etc.",26203,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
592,"Manufacture of printers, scanners, including bar code scanners, smart card readers, virtual reality helmets, computer projectors (video beamers)",26204,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
592,"Printers, scanners, including bar code scanners, smart card readers, virtual reality helmets, computer projectors (video beamers) related business activity",26204,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
592,"Services related to printers, scanners, including bar code scanners, smart card readers, virtual reality helmets, computer projectors (video beamers)",26204,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
593,"Manufacture of computer terminals, like automatic teller machines (ATMÃ¢â¬â¢s), point-of-sale (POS) terminals not mechanically operated",26205,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
593,"Computer terminals, like automatic teller machines (atmã¢â¬â¢s), point-of-sale (pos) terminals not mechanically operated related business activity",26205,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
593,"Services related to computer terminals, like automatic teller machines (atmã¢â¬â¢s), point-of-sale (pos) terminals not mechanically operated",26205,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
594,Manufacture of computers and peripheral equipment n.e.c.,26209,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
594,Computers and peripheral equipment n.e.c. related business activity,26209,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
594,Services related to computers and peripheral equipment n.e.c.,26209,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
595,"Manufacture of radio and television studio and broadcasting equipment, including television cameras",26301,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
595,"Radio and television studio and broadcasting equipment, including television cameras related business activity",26301,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
595,"Services related to radio and television studio and broadcasting equipment, including television cameras",26301,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
596,"Manufacture of telephone and facsimile equipment, including telephone answering machines, PBX",26302,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
596,"Telephone and facsimile equipment, including telephone answering machines, pbx related business activity",26302,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
596,"Services related to telephone and facsimile equipment, including telephone answering machines, pbx",26302,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
597,"Manufacture of data communications equipment, such as bridges, routers, and gateways",26303,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
597,"Data communications equipment, such as bridges, routers, and gateways related business activity",26303,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
597,"Services related to data communications equipment, such as bridges, routers, and gateways",26303,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
598,"Manufacture of cable television equipment, transmitting and receiving antenna including dish, VSAT",26304,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
598,"Cable television equipment, transmitting and receiving antenna including dish, vsat related business activity",26304,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
598,"Services related to cable television equipment, transmitting and receiving antenna including dish, vsat",26304,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
599,"Manufacture of pagers, cellular phones and other mobile communication equipment",26305,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
599,"Pagers, cellular phones and other mobile communication equipment related business activity",26305,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
599,"Services related to pagers, cellular phones and other mobile communication equipment",26305,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
600,Manufacture of other communication equipments n.e.c.,26309,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
600,Other communication equipments n.e.c. related business activity,26309,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
600,Services related to other communication equipments n.e.c.,26309,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
601,"Manufacture of televisions, television monitors and displays",26401,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
601,"Televisions, television monitors and displays related business activity",26401,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
601,"Services related to televisions, television monitors and displays",26401,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
602,Manufacture video cassette recorders and duplicating equipment,26402,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
602,Video cassette recorders and duplicating equipment related business activity,26402,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
602,Services related to video cassette recorders and duplicating equipment,26402,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
603,Manufacture of audio recording and duplicating systems,26403,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
603,Audio recording and duplicating systems related business activity,26403,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
603,Services related to audio recording and duplicating systems,26403,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
604,Manufacture of radio receivers,26404,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
604,Radio receivers related business activity,26404,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
604,Services related to radio receivers,26404,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
605,"Manufacture of stereo equipment, speaker systems, amplifiers for musical instruments and public address systems, microphones, karaoke machines, headphones (e.g. radio, stereo, computer)",26405,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
605,"Stereo equipment, speaker systems, amplifiers for musical instruments and public address systems, microphones, karaoke machines, headphones (e.g. radio, stereo, computer) related business activity",26405,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
605,"Services related to stereo equipment, speaker systems, amplifiers for musical instruments and public address systems, microphones, karaoke machines, headphones (e.g. radio, stereo, computer)",26405,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
606,Manufacture of CD and DVD players,26406,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
606,Cd and dvd players related business activity,26406,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
606,Services related to cd and dvd players,26406,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
607,Manufacture of other electronic consumer goods n.e.c. (this includes non- television video camera),26409,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
607,Other electronic consumer goods n.e.c. (this includes non- television video camera) related business activity,26409,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
607,Services related to other electronic consumer goods n.e.c. (this includes non- television video camera),26409,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
608,Manufacture of physical properties testing and inspection equipment,26511,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
608,Physical properties testing and inspection equipment related business activity,26511,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
608,Services related to physical properties testing and inspection equipment,26511,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
609,Manufacture of automotive emissions testing equipment,26512,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
609,Automotive emissions testing equipment related business activity,26512,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
609,Services related to automotive emissions testing equipment,26512,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
610,"Manufacture of consumption meters for electricity, water or gas, flow meters and counting meters",26513,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
610,"Consumption meters for electricity, water or gas, flow meters and counting meters related business activity",26513,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
610,"Services related to consumption meters for electricity, water or gas, flow meters and counting meters",26513,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
611,Manufacture of meteorological instruments,26514,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
611,Meteorological instruments related business activity,26514,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
611,Services related to meteorological instruments,26514,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
612,"Manufacture of radar equipment, GPS devices, search, detection, navigation, aeronautical and nautical equipment",26515,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
612,"Radar equipment, gps devices, search, detection, navigation, aeronautical and nautical equipment related business activity",26515,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
612,"Services related to radar equipment, gps devices, search, detection, navigation, aeronautical and nautical equipment",26515,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
613,"Manufacture of laboratory analytical instruments and miscellaneous laboratory apparatus for measuring and testing such as scales, balances, incubators etc.",26516,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
613,"Laboratory analytical instruments and miscellaneous laboratory apparatus for measuring and testing such as scales, balances, incubators etc. related business activity",26516,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
613,"Services related to laboratory analytical instruments and miscellaneous laboratory apparatus for measuring and testing such as scales, balances, incubators etc.",26516,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
614,Manufacture of industrial process control equipment,26517,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
614,Industrial process control equipment related business activity,26517,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
614,Services related to industrial process control equipment,26517,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
615,Manufacture of other measuring n.e.c.,26519,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
615,Other measuring n.e.c. related business activity,26519,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
615,Services related to other measuring n.e.c.,26519,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
616,"Manufacture of watches and clocks, including instrument panel clocks (except time-recording equipment)",26521,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
616,"Watches and clocks, including instrument panel clocks (except time-recording equipment) related business activity",26521,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
616,"Services related to watches and clocks, including instrument panel clocks (except time-recording equipment)",26521,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
617,"Manufacture of components for clocks and watches (springs, jewels, dials, hands, plates, bridges and other parts); watch and clock cases, including cases of precious metals",26522,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
617,"Components for clocks and watches (springs, jewels, dials, hands, plates, bridges and other parts); watch and clock cases, including cases precious metals related business activity",26522,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
617,"Services related to components for clocks and watches (springs, jewels, dials, hands, plates, bridges and other parts); watch and clock cases, including cases precious metals",26522,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
618,"Manufacture of time-recording equipments such as time-clock, parking meters etc.",26523,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
618,"Time-recording equipments such as time-clock, parking meters etc. related business activity",26523,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
618,"Services related to time-recording equipments such as time-clock, parking meters etc.",26523,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
619,Manufacture of other watches and clocks n.e.c.,26529,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
619,Other watches and clocks n.e.c. related business activity,26529,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
619,Services related to other watches and clocks n.e.c.,26529,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
620,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",26600,2660,266,"Manufacture of computer, electronic and optical products",Manufacturing
620,"Irradiation, electromedical and electrotherapeutic equipment related business activity",26600,2660,266,"Manufacture of computer, electronic and optical products",Manufacturing
620,"Services related to irradiation, electromedical and electrotherapeutic equipment",26600,2660,266,"Manufacture of computer, electronic and optical products",Manufacturing
621,Manufacture of optical instruments and equipment,26700,2670,267,"Manufacture of computer, electronic and optical products",Manufacturing
621,Optical instruments and equipment related business activity,26700,2670,267,"Manufacture of computer, electronic and optical products",Manufacturing
621,Services related to optical instruments and equipment,26700,2670,267,"Manufacture of computer, electronic and optical products",Manufacturing
622,Manufacture of magnetic and optical media,26800,2680,268,"Manufacture of computer, electronic and optical products",Manufacturing
622,Magnetic and optical media related business activity,26800,2680,268,"Manufacture of computer, electronic and optical products",Manufacturing
622,Services related to magnetic and optical media,26800,2680,268,"Manufacture of computer, electronic and optical products",Manufacturing
623,"Manufacture of power generators (except battery charging alternators for internal combustion engines), motor generator sets (except turbine generator set units)",27101,2710,271,Manufacture of electrical equipment,Manufacturing
623,"Power generators (except battery charging alternators for internal combustion engines), motor generator sets (except turbine generator set units) related business activity",27101,2710,271,Manufacture of electrical equipment,Manufacturing
623,"Services related to power generators (except battery charging alternators for internal combustion engines), motor generator sets (except turbine generator set units)",27101,2710,271,Manufacture of electrical equipment,Manufacturing
624,"Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators",27102,2710,271,Manufacture of electrical equipment,Manufacturing
624,"Electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators related business activity",27102,2710,271,Manufacture of electrical equipment,Manufacturing
624,"Services related to electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators",27102,2710,271,Manufacture of electrical equipment,Manufacturing
625,Manufacture of electric motors (except internal combustion engine starting motors),27103,2710,271,Manufacture of electrical equipment,Manufacturing
625,Electric motors (except internal combustion engine starting motors) related business activity,27103,2710,271,Manufacture of electrical equipment,Manufacturing
625,Services related to electric motors (except internal combustion engine starting motors),27103,2710,271,Manufacture of electrical equipment,Manufacturing
626,"Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or protecting electrical circuits (e.g. switches, fuses, voltage limiters, surge suppressors, junction boxes etc.)",27104,2710,271,Manufacture of electrical equipment,Manufacturing
626,"Electricity distribution and control apparatus (electrical apparatus for switching or protecting electrical circuits (e.g. switches, fuses, voltage limiters, surge suppressors, junction boxes etc.) related business activity",27104,2710,271,Manufacture of electrical equipment,Manufacturing
626,"Services related to electricity distribution and control apparatus (electrical apparatus for switching or protecting electrical circuits (e.g. switches, fuses, voltage limiters, surge suppressors, junction boxes etc.)",27104,2710,271,Manufacture of electrical equipment,Manufacturing
627,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material",27201,2720,272,Manufacture of electrical equipment,Manufacturing
627,"Primary cells and primary batteries nd rechargable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material related business activity",27201,2720,272,Manufacture of electrical equipment,Manufacturing
627,"Services related to primary cells and primary batteries nd rechargable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material",27201,2720,272,Manufacture of electrical equipment,Manufacturing
628,"Manufacture of electric accumulator incuding parts thereof (separators, containers, covers)",27202,2720,272,Manufacture of electrical equipment,Manufacturing
628,"Electric accumulator incuding parts there(separators, containers, covers) related business activity",27202,2720,272,Manufacture of electrical equipment,Manufacturing
628,"Services related to electric accumulator incuding parts there(separators, containers, covers)",27202,2720,272,Manufacture of electrical equipment,Manufacturing
629,Manufacture of fibre optic cables for data transmission or live transmission of images,27310,2731,273,Manufacture of electrical equipment,Manufacturing
629,Fibre optic cables for data transmission or live transmission images related business activity,27310,2731,273,Manufacture of electrical equipment,Manufacturing
629,Services related to fibre optic cables for data transmission or live transmission images,27310,2731,273,Manufacture of electrical equipment,Manufacturing
630,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)",27320,2732,273,Manufacture of electrical equipment,Manufacturing
630,"Other electronic and electric wires and cables (insulated wire and cable made steel, copper, aluminium) related business activity",27320,2732,273,Manufacture of electrical equipment,Manufacturing
630,"Services related to other electronic and electric wires and cables (insulated wire and cable made steel, copper, aluminium)",27320,2732,273,Manufacture of electrical equipment,Manufacturing
631,"Manufacture of switch, switch box, lamp holders, lugs etc.",27331,2733,273,Manufacture of electrical equipment,Manufacturing
631,"Switch, switch box, lamp holders, lugs etc. related business activity",27331,2733,273,Manufacture of electrical equipment,Manufacturing
631,"Services related to switch, switch box, lamp holders, lugs etc.",27331,2733,273,Manufacture of electrical equipment,Manufacturing
632,Manufacture of other wiring devices and fittings n.e.c.,27339,2733,273,Manufacture of electrical equipment,Manufacturing
632,Other wiring devices and fittings n.e.c. related business activity,27339,2733,273,Manufacture of electrical equipment,Manufacturing
632,Services related to other wiring devices and fittings n.e.c.,27339,2733,273,Manufacture of electrical equipment,Manufacturing
633,Manufacture of electric lighting equipment,27400,2740,274,Manufacture of electrical equipment,Manufacturing
633,Electric lighting equipment related business activity,27400,2740,274,Manufacture of electrical equipment,Manufacturing
633,Services related to electric lighting equipment,27400,2740,274,Manufacture of electrical equipment,Manufacturing
634,"Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders etc.",27501,2750,275,Manufacture of electrical equipment,Manufacturing
634,"Domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders etc. related business activity",27501,2750,275,Manufacture of electrical equipment,Manufacturing
634,"Services related to domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders etc.",27501,2750,275,Manufacture of electrical equipment,Manufacturing
635,"Manufacture of domestic electrothermic appliances such as electric water heaters, space heaters, irons, ovens, toasters, microwave ovens etc",27502,2750,275,Manufacture of electrical equipment,Manufacturing
635,"Domestic electrothermic appliances such as electric water heaters, space heaters, irons, ovens, toasters, microwave ovens etc related business activity",27502,2750,275,Manufacture of electrical equipment,Manufacturing
635,"Services related to domestic electrothermic appliances such as electric water heaters, space heaters, irons, ovens, toasters, microwave ovens etc",27502,2750,275,Manufacture of electrical equipment,Manufacturing
636,Manufacture of electric fans (except exhaust fans),27503,2750,275,Manufacture of electrical equipment,Manufacturing
636,Electric fans (except exhaust fans) related business activity,27503,2750,275,Manufacture of electrical equipment,Manufacturing
636,Services related to electric fans (except exhaust fans),27503,2750,275,Manufacture of electrical equipment,Manufacturing
637,"Manufacture of domestic non-electric cooking and heating equipment such as non-electric space heaters, cooking ranges, grates, stoves, water heaters, cooking appliances, plate warmers",27504,2750,275,Manufacture of electrical equipment,Manufacturing
637,"Domestic non-electric cooking and heating equipment such as non-electric space heaters, cooking ranges, grates, stoves, water heaters, cooking appliances, plate warmers related business activity",27504,2750,275,Manufacture of electrical equipment,Manufacturing
637,"Services related to domestic non-electric cooking and heating equipment such as non-electric space heaters, cooking ranges, grates, stoves, water heaters, cooking appliances, plate warmers",27504,2750,275,Manufacture of electrical equipment,Manufacturing
638,Manufacture of other domestic appliances n.e.c.,27509,2750,275,Manufacture of electrical equipment,Manufacturing
638,Other domestic appliances n.e.c. related business activity,27509,2750,275,Manufacture of electrical equipment,Manufacturing
638,Services related to other domestic appliances n.e.c.,27509,2750,275,Manufacture of electrical equipment,Manufacturing
639,Manufacture of other electrical equipment,27900,2790,279,Manufacture of electrical equipment,Manufacturing
639,Other electrical equipment related business activity,27900,2790,279,Manufacture of electrical equipment,Manufacturing
639,Services related to other electrical equipment,27900,2790,279,Manufacture of electrical equipment,Manufacturing
640,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",28110,2811,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
640,"Engines and turbines, except aircraft, vehicle and cycle engines related business activity",28110,2811,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
640,"Services related to engines and turbines, except aircraft, vehicle and cycle engines",28110,2811,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
641,Manufacture of fluid power equipment,28120,2812,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
641,Fluid power equipment related business activity,28120,2812,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
641,Services related to fluid power equipment,28120,2812,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
642,Manufacture of hand pumps,28131,2813,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
642,Hand pumps related business activity,28131,2813,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
642,Services related to hand pumps,28131,2813,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
643,"Manufacture of other pumps, compressors, taps and valves etc.",28132,2813,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
643,"Other pumps, compressors, taps and valves etc. related business activity",28132,2813,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
643,"Services related to other pumps, compressors, taps and valves etc.",28132,2813,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
644,"Manufacture of bearings, gears, gearing and driving elements",28140,2814,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
644,"Bearings, gears, gearing and driving elements related business activity",28140,2814,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
