text,nic_code,nic_label,division
imitation artificial jewellery,32120,Manufacture of imitation jewellery,Manufacturing
i am doing wire fencing making for export,25993,Manufacture of metal cable and wire,Manufacturing
we have a readymade garments for export,14101,Manufacture of textile garments,Manufacturing
i do fish farming in my city,3221,Fish farming in freshwater,Agriculture
web design,62012,Web page designing,IT Services
we have a cotton yarn spinning,13111,Preparation and spinning of cotton fiber,Manufacturing
wooden toy making,32401,Manufacture of dolls and toy animals,Manufacturing
ayurvedic medicine making for local market,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
electronic component making,26101,Manufacture of electronic components,Manufacturing
i run a tax consultant for domestic market,69202,Tax consultancy,Finance
we have a i grow cotton as msme,1161,Growing of cotton,Agriculture
we have a pharmacy medical shop in india,47721,Retail sale of pharmaceuticals,Healthcare
we are into truck transport in my village,49231,Motorised road freight transport,Transport
i own a call centre bpo,82200,Activities of call centres,IT Services
i own a diamond cutting and polishing in my city,32112,Working of diamonds and precious stones,Manufacturing
our business is knitting hosiery unit,13913,Manufacture of knitted synthetic fabrics,Manufacturing
interior design work at home,43303,Interior painting and decorating,Construction
herbal medicine production,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
industry: flour mill,10611,Flour milling,Manufacturing
i do photocopying shop for local market,82191,Photocopying and duplicating services,Services
industry: sewing machine manufacturing for domestic market,28265,Manufacture of sewing machines,Manufacturing
the company is engaged in cotton farming as msme,1161,Growing of cotton,Agriculture
we do packaging printing as msme,18119,Printing activities,Manufacturing
this unit is involved in electronic component making for domestic market,26101,Manufacture of electronic components,Manufacturing
phenyl disinfectant making on small scale,20212,Manufacture of disinfectants,Manufacturing
i do bolt nut manufacturing in my village,25991,Manufacture of metal fasteners,Manufacturing
jewellery shop,47733,Retail sale of jewellery,Trade
we are into tax consultant in india,69202,Tax consultancy,Finance
the company is engaged in rice milling unit for export,10612,Rice milling,Manufacturing
industry: cargo handling in india,52241,Cargo handling for land transport,Transport
i do bakery unit,10711,Manufacture of bread,Manufacturing
this unit is involved in event catering for domestic market,56210,Event catering,Hospitality
we deal in car manufacturing at home,29101,Manufacture of passenger cars,Manufacturing
we deal in i have a cow dairy for local market,1412,Production of milk from cows or buffaloes,Agriculture
the company is engaged in i make gold jewellery,32111,Manufacture of jewellery of gold silver,Manufacturing
i own a machine repair workshop,33121,Repair of engines and turbines,Manufacturing
i do we make bread and biscuits for domestic market,10712,Manufacture of biscuits and cakes,Manufacturing
we weave cotton fabric for domestic market,13121,Weaving of cotton fabrics,Manufacturing
we are into we make bread and biscuits for local market,10712,Manufacture of biscuits and cakes,Manufacturing
business activity: jam jelly making for local market,10305,Manufacture of sauces jams and jellies,Manufacturing
mobile bike repair shop,45403,Maintenance of motorcycles and scooters,Trade
photocopying shop at home,82191,Photocopying and duplicating services,Services
industry: i make shoes chappal,15201,Manufacture of leather footwear,Manufacturing
wheat farming at home,1111,Growing of wheat,Agriculture
business activity: i grow onions and tomatoes in my city,1132,Growing of fruit-bearing vegetables,Agriculture
our business is wooden toy making at home,32401,Manufacture of dolls and toy animals,Manufacturing
i have a cow dairy,1412,Production of milk from cows or buffaloes,Agriculture
my work is my business is wheat cultivation for export,1111,Growing of wheat,Agriculture
the company is engaged in data entry work for local market,63114,Providing data entry services,IT Services
we deal in software development for local market,62011,Writing and modifying computer programs,IT Services
milk production,1412,Production of milk from cows or buffaloes,Agriculture
travel agency for local market,52291,Activities of travel agents,Transport
i do shoe making at home,15201,Manufacture of leather footwear,Manufacturing
i am doing we produce eggs in my city,1462,Production of eggs,Agriculture
we are into pcb printed circuit board in my village,26104,Manufacture of printed circuit boards,Manufacturing
my work is mobile phone manufacturing,26305,Manufacture of pagers cellular phones,Manufacturing
we do vehicle repair garage on small scale,45200,Maintenance and repair of motor vehicles,Trade
dentist in my village,86202,Dental practice activities,Healthcare
this unit is involved in rice cultivation in irrigated fields,1121,Organic farming of basmati rice,Agriculture
footwear manufacturing as msme,15201,Manufacture of leather footwear,Manufacturing
we are into electric fan manufacturing on small scale,27503,Manufacture of electric fans,Manufacturing
industry: wholesale trader in my village,46209,Wholesale of agriculture raw materials,Trade
our business is ice cream manufacturing on small scale,10505,Manufacture of ice cream,Manufacturing
we grow bananas,1222,Growing of bananas,Agriculture
the company is engaged in we make fruit juice as msme,10304,Manufacture of fruit juices,Manufacturing
business activity: we dry and pack fish,10201,Sun-drying of fish,Manufacturing
industry: dry cleaning laundry for local market,96010,Washing and dry cleaning of textiles,Services
i own a plastic bag making for export,22203,Manufacture of plastic articles for packing,Manufacturing
we deal in furniture shop as msme,47591,Retail sale of household furniture,Trade
the company is engaged in jute farming as msme,1162,Growing of jute,Agriculture
stock broker,66120,Security and commodity contracts brokerage,Finance
my work is electronic goods shop,47420,Retail sale of audio and video equipment,Trade
we have a wheat farming in india,1111,Growing of wheat,Agriculture
tiffin catering service,56291,Activities of food service contractors,Hospitality
honey production,1492,Bee-keeping and production of honey,Agriculture
we do shoe making,15201,Manufacture of leather footwear,Manufacturing
we are into i grow rice on small scale,1121,Organic farming of basmati rice,Agriculture
this unit is involved in mobile phone repair,95120,Repair of communication equipment,Services
we are into sports goods manufacturing,32300,Manufacture of sports goods,Manufacturing
this unit is involved in graphic design,74103,Services of graphic designers,Professional
i do agarbatti incense sticks making in india,20238,Manufacture of agarbatti,Manufacturing
i own a i make leather bags on small scale,15121,Manufacture of travel goods and bags,Manufacturing
industry: i make wooden furniture in india,31001,Manufacture of furniture of wood,Manufacturing
we deal in advocate lawyer,69100,Legal activities,Professional
we deal in we make jaggery gur for domestic market,10722,Manufacture of gur from sugarcane,Manufacturing
i do jute farming in india,1162,Growing of jute,Agriculture
i am doing wire fencing making as msme,25993,Manufacture of metal cable and wire,Manufacturing
tea processing for export,10791,Processing and blending of tea,Manufacturing
i own a packaging printing,18119,Printing activities,Manufacturing
industry: civil construction contractor for domestic market,41001,Construction of buildings,Construction
i grow mangoes,1221,Growing of mangoes,Agriculture
we are into we grow bananas,1222,Growing of bananas,Agriculture
i do vehicle repair garage in my village,45200,Maintenance and repair of motor vehicles,Trade
we deal in switch socket manufacturing on small scale,27331,Manufacture of switch and socket,Manufacturing
i am doing photography studio for domestic market,74201,Commercial photograph production,Professional
industry: we export organic basmati rice,1121,Organic farming of basmati rice,Agriculture
my work is pcb printed circuit board,26104,Manufacture of printed circuit boards,Manufacturing
jute farming on small scale,1162,Growing of jute,Agriculture
our business is we make washing powder for export,20233,Manufacture of detergent,Manufacturing
i am doing photography studio for export,74201,Commercial photograph production,Professional
we do chakki flour mill for export,10611,Flour milling,Manufacturing
diamond cutting and polishing for domestic market,32112,Working of diamonds and precious stones,Manufacturing
i do soap making at home,20231,Manufacture of soap all forms,Manufacturing
i am doing photocopying shop for local market,82191,Photocopying and duplicating services,Services
i am doing we make bread and biscuits in india,10712,Manufacture of biscuits and cakes,Manufacturing
i am doing pest control for local market,81299,Other building and industrial cleaning,Services
business activity: driving school for domestic market,85223,Professional motor driving school,Education
steel manufacturing,24103,Manufacture of steel,Manufacturing
we do iron and steel plant for domestic market,24101,Manufacture of pig iron,Manufacturing
i run a event management as msme,82300,Organization of conventions and trade shows,Services
we deal in i grow coconuts for local market,1261,Growing of coconut,Agriculture
mango farming in konkan on small scale,1221,Growing of mangoes,Agriculture
we have a homeopathy clinic,86903,Activities of homeopaths,Healthcare
business activity: interior design work,43303,Interior painting and decorating,Construction
i run a tailoring alteration in my village,95292,Repair and alteration of clothing,Services
gas agency cylinder,35202,Distribution and sale of gaseous fuels,Energy
my work is we grow onion,1133,Growing of onion,Agriculture
i own a ayurvedic medicine making,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
industry: driving school for export,85223,Professional motor driving school,Education
i run a wholesale trader for export,46209,Wholesale of agriculture raw materials,Trade
industry: tyre manufacturing in my city,22111,Manufacture of rubber tyres for motor vehicles,Manufacturing
we are into i am a tailor for export,14105,Custom tailoring,Manufacturing
we are into tyre manufacturing for domestic market,22111,Manufacture of rubber tyres for motor vehicles,Manufacturing
my work is gas agency cylinder on small scale,35202,Distribution and sale of gaseous fuels,Energy
industry: ice cream manufacturing in my village,10505,Manufacture of ice cream,Manufacturing
business activity: aluminium product making in my village,24202,Manufacture of aluminium products,Manufacturing
we deal in tea packing business for domestic market,10791,Processing and blending of tea,Manufacturing
i make leather bags in my city,15121,Manufacture of travel goods and bags,Manufacturing
this unit is involved in chili farming,1282,Growing of chili,Agriculture
we deal in bicycle manufacturing,30921,Manufacture of bicycles,Manufacturing
the company is engaged in mineral water plant at home,11043,Manufacture of mineral water,Manufacturing
industry: tractor manufacturing for domestic market,28211,Manufacture of tractors for agriculture,Manufacturing
i make papad,10796,Manufacture of papads and appalam,Manufacturing
business activity: market research in my village,73200,Market research and public opinion polling,Professional
our business is pesticide manufacturing in my village,20211,Manufacture of insecticides,Manufacturing
business activity: trucking business in india,49231,Motorised road freight transport,Transport
industry: chili farming for domestic market,1282,Growing of chili,Agriculture
the company is engaged in dentist,86202,Dental practice activities,Healthcare
industry: pump manufacturing for domestic market,28132,Manufacture of pumps and compressors,Manufacturing
we have a matchbox making,20291,Manufacture of matches,Manufacturing
we deal in sports goods manufacturing,32300,Manufacture of sports goods,Manufacturing
business activity: i make bread as msme,10711,Manufacture of bread,Manufacturing
we do nursing home for export,86100,Hospital activities,Healthcare
we do mobile phone repair as msme,95120,Repair of communication equipment,Services
accountant ca firm at home,69201,Accounting and auditing activities,Finance
i do civil construction contractor in india,41001,Construction of buildings,Construction
bakery products,10712,Manufacture of biscuits and cakes,Manufacturing
diagnostic lab pathology,86905,Activities of diagnostic laboratories,Healthcare
jute bag making,13942,Manufacture of cordage or rope of jute,Manufacturing
we do coconut farming,1261,Growing of coconut,Agriculture
we are into cargo handling at home,52241,Cargo handling for land transport,Transport
i am doing iron and steel plant for export,24101,Manufacture of pig iron,Manufacturing
the company is engaged in copper wire making in my city,24201,Manufacture of copper products,Manufacturing
industry: cardboard box making,17023,Manufacture of card board boxes,Manufacturing
my work is petrol pump for domestic market,47300,Retail sale of automotive fuel,Trade
our business is repair shop electronics in my village,95210,Repair of consumer electronics,Services
this unit is involved in i grow cotton,1161,Growing of cotton,Agriculture
computer training centre,85491,Academic tutoring services,Education
this unit is involved in sand quarrying,8106,Operation of sand or gravel pits,Mining
industry: bakery unit,10711,Manufacture of bread,Manufacturing
we do ceramic tile manufacturing in india,23921,Manufacture of bricks,Manufacturing
industry: soft drink manufacturing,11045,Manufacture of soft drinks,Manufacturing
business activity: jute farming on small scale,1162,Growing of jute,Agriculture
we have a diagnostic lab pathology at home,86905,Activities of diagnostic laboratories,Healthcare
our business is brassware manufacturing for export,25994,Manufacture of metal household articles,Manufacturing
we do mobile phone manufacturing on small scale,26305,Manufacture of pagers cellular phones,Manufacturing
homeopathic medicine,21004,Manufacture of homoeopathic pharmaceutical preparations,Manufacturing
we deal in travel agency as msme,52291,Activities of travel agents,Transport
business activity: potato farming on small scale,1135,Growing of potatoes and tubers,Agriculture
the company is engaged in computer assembly in my village,26201,Manufacture of desktop and laptop computers,Manufacturing
industry: hospital clinic,86100,Hospital activities,Healthcare
i own a fish farming,3221,Fish farming in freshwater,Agriculture
i grow onions and tomatoes for local market,1132,Growing of fruit-bearing vegetables,Agriculture
the company is engaged in aquaculture freshwater for export,3221,Fish farming in freshwater,Agriculture
industry: computer training centre on small scale,85491,Academic tutoring services,Education
we are into cotton yarn spinning in india,13111,Preparation and spinning of cotton fiber,Manufacturing
we deal in wheat farming for local market,1111,Growing of wheat,Agriculture
we do tea packing business for export,10791,Processing and blending of tea,Manufacturing
wire and cable manufacturing,27320,Manufacture of wires and cables,Manufacturing
book shop stationery in my village,47613,Retail sale of stationery,Trade
we have a i raise chickens in my city,1461,Raising and breeding of poultry,Agriculture
the company is engaged in we grind spices on small scale,10795,Grinding and processing of spices,Manufacturing
we have a wire fencing making in india,25993,Manufacture of metal cable and wire,Manufacturing
industry: milk powder making,10502,Manufacture of milk powder,Manufacturing
handmade soap business,20231,Manufacture of soap all forms,Manufacturing
i am doing i grow onions and tomatoes at home,1132,Growing of fruit-bearing vegetables,Agriculture
embroidery work in my village,13991,Embroidery work and making of laces,Manufacturing
we are into honey production in my village,1492,Bee-keeping and production of honey,Agriculture
tyre manufacturing,22111,Manufacture of rubber tyres for motor vehicles,Manufacturing
i am doing kirana store,47211,Retail sale of food products,Trade
rice mill,10612,Rice milling,Manufacturing
we deal in i grow mangoes for domestic market,1221,Growing of mangoes,Agriculture
we are into beauty parlour salon in india,96020,Hairdressing and other beauty treatment,Services
this unit is involved in agarbatti incense sticks making as msme,20238,Manufacture of agarbatti,Manufacturing
business activity: silver jewellery on small scale,32111,Manufacture of jewellery of gold silver,Manufacturing
rice milling unit,10612,Rice milling,Manufacturing
this unit is involved in placement agency hr,78100,Activities of employment placement agencies,Services
business activity: pcb printed circuit board,26104,Manufacture of printed circuit boards,Manufacturing
this unit is involved in utensil making brass copper in my city,25994,Manufacture of metal household articles,Manufacturing
business activity: wooden toy making in india,32401,Manufacture of dolls and toy animals,Manufacturing
my work is i make clothes,14101,Manufacture of textile garments,Manufacturing
my work is homeopathy clinic in india,86903,Activities of homeopaths,Healthcare
fertilizer manufacturing for domestic market,20121,Manufacture of urea and organic fertilizers,Manufacturing
i do we grind flour as msme,10611,Flour milling,Manufacturing
tea processing as msme,10791,Processing and blending of tea,Manufacturing
industry: highway building on small scale,42101,Construction of highways and roads,Construction
my work is beauty parlour salon in my village,96020,Hairdressing and other beauty treatment,Services
we do lock and key making at home,25934,Manufacture of padlocks and locks,Manufacturing
business activity: online selling ecommerce for local market,47912,Retail sale via e-commerce,Trade
industry: hotel restaurant in my village,55101,Hotels and motels providing lodging,Hospitality
we do veterinary doctor in my city,75000,Veterinary activities,Professional
our business is insurance agent on small scale,66220,Activities of insurance agents and brokers,Finance
i do onion farming in nashik,1133,Growing of onion,Agriculture
we deal in solar energy plant on small scale,35105,Electric power generation using solar energy,Energy
our business is rubber product manufacturing in my city,22191,Manufacture of rubber plates and tubes,Manufacturing
we are into we make indian sweets as msme,10734,Manufacture of sweetmeats,Manufacturing
the company is engaged in shoe making in india,15201,Manufacture of leather footwear,Manufacturing
we are into skill training institute iti at home,85221,Technical and vocational education,Education
tea stall,56302,Tea and coffee shops,Hospitality
my work is bolt nut manufacturing,25991,Manufacture of metal fasteners,Manufacturing
this unit is involved in tractor manufacturing at home,28211,Manufacture of tractors for agriculture,Manufacturing
industry: driving school on small scale,85223,Professional motor driving school,Education
i do electricity distribution in india,35109,Collection and distribution of electric energy,Energy
coaching class tuition on small scale,85491,Academic tutoring services,Education
i grow non basmati rice,1122,Organic farming of non-basmati rice,Agriculture
i am doing aluminium product making in my village,24202,Manufacture of aluminium products,Manufacturing
business activity: chakki flour mill in india,10611,Flour milling,Manufacturing
my work is courier service on small scale,53200,Courier activities,Transport
i own a sugarcane cultivation for local market,1140,Growing of sugar cane,Agriculture
milk production at home,1412,Production of milk from cows or buffaloes,Agriculture
i run a tea processing at home,10791,Processing and blending of tea,Manufacturing
fish processing in india,10204,Processing and preserving of fish,Manufacturing
i do fishing in sea in my village,3111,Fishing in ocean and coastal waters,Agriculture
we do we grind spices for local market,10795,Grinding and processing of spices,Manufacturing
business activity: parcel delivery for export,53200,Courier activities,Transport
this unit is involved in pest control in my city,81299,Other building and industrial cleaning,Services
we are into i grow potatoes in india,1135,Growing of potatoes and tubers,Agriculture
i am doing milk production for local market,1412,Production of milk from cows or buffaloes,Agriculture
our business is zari work business for local market,13992,Zari work and ornamental trimmings,Manufacturing
the company is engaged in we export organic basmati rice,1121,Organic farming of basmati rice,Agriculture
we have a i grow ginger in my village,1281,Growing of ginger,Agriculture
my work is pottery making for local market,23931,Manufacture of articles of porcelain and pottery,Manufacturing
this unit is involved in auto rickshaw in my city,49224,Taxi operation,Transport
we deal in cleaning services in india,81210,General cleaning of buildings,Services
fish processing in my village,10204,Processing and preserving of fish,Manufacturing
data entry work for local market,63114,Providing data entry services,IT Services
business activity: cardboard box making for domestic market,17023,Manufacture of card board boxes,Manufacturing
my work is knife scissors making for export,25931,Manufacture of cutlery,Manufacturing
business activity: electric fan manufacturing for local market,27503,Manufacture of electric fans,Manufacturing
fireworks manufacturing for export,20292,Manufacture of explosives and fireworks,Manufacturing
book shop stationery,47613,Retail sale of stationery,Trade
jute bag making for local market,13942,Manufacture of cordage or rope of jute,Manufacturing
i keep bees and sell honey for domestic market,1492,Bee-keeping and production of honey,Agriculture
the company is engaged in mineral water plant in my village,11043,Manufacture of mineral water,Manufacturing
business activity: agricultural equipment making for export,28212,Manufacture of agricultural machinery,Manufacturing
copper wire making,24201,Manufacture of copper products,Manufacturing
my work is plastic bag making in my village,22203,Manufacture of plastic articles for packing,Manufacturing
our business is marble quarrying as msme,8101,Quarrying of marble,Mining
we do book shop stationery on small scale,47613,Retail sale of stationery,Trade
we are into we weave cotton fabric in my city,13121,Weaving of cotton fabrics,Manufacturing
truck transport,49231,Motorised road freight transport,Transport
the company is engaged in pump manufacturing for local market,28132,Manufacture of pumps and compressors,Manufacturing
we make bread and biscuits,10712,Manufacture of biscuits and cakes,Manufacturing
we do bicycle repair for export,95291,Repair of bicycles,Services
i do i make bread,10711,Manufacture of bread,Manufacturing
my work is sewing machine manufacturing for local market,28265,Manufacture of sewing machines,Manufacturing
we have a sports goods manufacturing in my village,32300,Manufacture of sports goods,Manufacturing
aerated drinks manufacturing,11041,Manufacture of aerated drinks,Manufacturing
we do spectacle frame making,22206,Manufacture of spectacle frames of plastic,Manufacturing
business activity: gas agency cylinder on small scale,35202,Distribution and sale of gaseous fuels,Energy
rubber product manufacturing in my village,22191,Manufacture of rubber plates and tubes,Manufacturing
i run a pcb printed circuit board on small scale,26104,Manufacture of printed circuit boards,Manufacturing
i am doing paper manufacturing in my village,17013,Manufacture of paper,Manufacturing
industry: we produce eggs,1462,Production of eggs,Agriculture
we have a egg production farm in my village,1462,Production of eggs,Agriculture
business activity: i make agarbatti on small scale,20238,Manufacture of agarbatti,Manufacturing
i do tax consultant on small scale,69202,Tax consultancy,Finance
photography studio,74201,Commercial photograph production,Professional
i run a footwear manufacturing for local market,15201,Manufacture of leather footwear,Manufacturing
cable tv operator for export,61103,Activities of cable operators,IT Services
industry: papad making unit in my city,10796,Manufacture of papads and appalam,Manufacturing
cleaning services for export,81210,General cleaning of buildings,Services
i am doing warehouse storage for local market,52102,Warehousing non-refrigerated,Transport
industry: leather bag making in my village,15121,Manufacture of travel goods and bags,Manufacturing
toy making in india,32401,Manufacture of dolls and toy animals,Manufacturing
data entry work,63114,Providing data entry services,IT Services
the company is engaged in placement agency hr,78100,Activities of employment placement agencies,Services
i do electronic component making for export,26101,Manufacture of electronic components,Manufacturing
i am doing architect firm,71100,Architectural and engineering activities,Professional
we have a i make leather bags as msme,15121,Manufacture of travel goods and bags,Manufacturing
business activity: petrol pump as msme,47300,Retail sale of automotive fuel,Trade
advocate lawyer for domestic market,69100,Legal activities,Professional
we are into tailoring alteration for export,95292,Repair and alteration of clothing,Services
business activity: led bulb making in my village,27400,Manufacture of electric lighting equipment,Manufacturing
mobile recharge shop for local market,61201,Activities of internet access wireless,IT Services
we deal in road construction for export,42101,Construction of highways and roads,Construction
clothing shop in my city,47711,Retail sale of readymade garments,Trade
wire and cable manufacturing in my village,27320,Manufacture of wires and cables,Manufacturing
advocate lawyer,69100,Legal activities,Professional
we are into lock and key making for domestic market,25934,Manufacture of padlocks and locks,Manufacturing
business activity: dhaba food stall,56101,Restaurants,Hospitality
cement manufacturing,23941,Manufacture of clinkers and cement,Manufacturing
architect firm for local market,71100,Architectural and engineering activities,Professional
i am doing plastic product manufacturing at home,22201,Manufacture of semi-finished plastic products,Manufacturing
i own a egg production farm as msme,1462,Production of eggs,Agriculture
we make plastic bags,22203,Manufacture of plastic articles for packing,Manufacturing
industry: switch socket manufacturing on small scale,27331,Manufacture of switch and socket,Manufacturing
i am doing imitation artificial jewellery at home,32120,Manufacture of imitation jewellery,Manufacturing
the company is engaged in surgical instrument making,32504,Manufacture of bone plates and syringes,Manufacturing
this unit is involved in agarbatti incense sticks making for domestic market,20238,Manufacture of agarbatti,Manufacturing
i own a canteen mess in my village,56292,Operation of canteens,Hospitality
my work is web design at home,62012,Web page designing,IT Services
this unit is involved in sewing machine manufacturing,28265,Manufacture of sewing machines,Manufacturing
this unit is involved in onion farming in nashik in my village,1133,Growing of onion,Agriculture
i own a paper manufacturing in my city,17013,Manufacture of paper,Manufacturing
i am doing i grow ginger,1281,Growing of ginger,Agriculture
the company is engaged in general store at home,47190,Other retail sale in non-specialized stores,Trade
the company is engaged in it consulting in my city,62020,Computer consultancy,IT Services
we do candle making,20238,Manufacture of agarbatti and similar products,Manufacturing
our business is bakery products for domestic market,10712,Manufacture of biscuits and cakes,Manufacturing
we deal in i make shoes chappal for domestic market,15201,Manufacture of leather footwear,Manufacturing
we do honey production,1492,Bee-keeping and production of honey,Agriculture
industry: rice mill,10612,Rice milling,Manufacturing
i run a rice milling unit for export,10612,Rice milling,Manufacturing
business activity: medicine pharmacy in india,47721,Retail sale of pharmaceuticals,Trade
i own a tea packing business on small scale,10791,Processing and blending of tea,Manufacturing
our business is i grow ginger in india,1281,Growing of ginger,Agriculture
i own a stock broker in india,66120,Security and commodity contracts brokerage,Finance
this unit is involved in dairy farming as msme,1412,Production of milk from cows or buffaloes,Agriculture
industry: homeopathic medicine for domestic market,21004,Manufacture of homoeopathic pharmaceutical preparations,Manufacturing
this unit is involved in coal mining for domestic market,5101,Opencast mining of hard coal,Mining
our business is wholesale trader for domestic market,46209,Wholesale of agriculture raw materials,Trade
my work is cold storage warehouse as msme,52101,Warehousing of refrigerated goods,Transport
we are into security guard agency as msme,80100,Private security activities,Services
industry: pottery making in my city,23931,Manufacture of articles of porcelain and pottery,Manufacturing
i own a utensil making brass copper,25994,Manufacture of metal household articles,Manufacturing
my work is pickle making for export,10306,Manufacture of pickles and chutney,Manufacturing
call centre bpo,82200,Activities of call centres,IT Services
the company is engaged in property dealer in india,68200,Real estate activities on fee basis,Real Estate
we deal in handloom weaving,13121,Weaving of cotton fabrics,Manufacturing
we are into i grow wheat on my farm in my city,1111,Growing of wheat,Agriculture
sugar manufacturing,10721,Manufacture of sugar from sugarcane,Manufacturing
i run a imitation artificial jewellery at home,32120,Manufacture of imitation jewellery,Manufacturing
this unit is involved in advocate lawyer,69100,Legal activities,Professional
our business is hardware shop for domestic market,47522,Retail sale of hardware,Trade
i own a i make agarbatti as msme,20238,Manufacture of agarbatti,Manufacturing
i run a civil construction contractor as msme,41001,Construction of buildings,Construction
imitation artificial jewellery in my city,32120,Manufacture of imitation jewellery,Manufacturing
we do toothpaste manufacturing in my village,20235,Manufacture of dental hygiene preparations,Manufacturing
veterinary doctor on small scale,75000,Veterinary activities,Professional
business activity: we make electric vehicles as msme,29101,Manufacture of passenger cars,Manufacturing
tin box can making on small scale,25992,Manufacture of containers tins and cans,Manufacturing
i own a spinning mill cotton for export,13111,Preparation and spinning of cotton fiber,Manufacturing
we deal in i make agarbatti in my village,20238,Manufacture of agarbatti,Manufacturing
i do painting contractor,43303,Interior and exterior painting,Construction
my work is real estate developer on small scale,41001,Construction of buildings,Construction
we have a readymade garments for local market,14101,Manufacture of textile garments,Manufacturing
our business is handloom weaving in my village,13121,Weaving of cotton fabrics,Manufacturing
this unit is involved in hardware shop in my village,47522,Retail sale of hardware,Trade
our business is parcel delivery for export,53200,Courier activities,Transport
real estate agent broker,68200,Real estate activities on fee basis,Real Estate
homeopathy clinic on small scale,86903,Activities of homeopaths,Healthcare
bolt nut manufacturing for domestic market,25991,Manufacture of metal fasteners,Manufacturing
this unit is involved in plastic chair table making in my city,22202,Manufacture of plastic household articles,Manufacturing
my work is jam jelly making in my village,10305,Manufacture of sauces jams and jellies,Manufacturing
printing press,18112,Printing of books and magazines,Manufacturing
we make electric vehicles for domestic market,29101,Manufacture of passenger cars,Manufacturing
car manufacturing,29101,Manufacture of passenger cars,Manufacturing
i own a coconut farming at home,1261,Growing of coconut,Agriculture
i grow wheat on my farm,1111,Growing of wheat,Agriculture
i do brassware manufacturing as msme,25994,Manufacture of metal household articles,Manufacturing
industry: wire fencing making in india,25993,Manufacture of metal cable and wire,Manufacturing
vegetable farming,1131,Growing of vegetables,Agriculture
the company is engaged in paper manufacturing in india,17013,Manufacture of paper,Manufacturing
business activity: tea stall,56302,Tea and coffee shops,Hospitality
business activity: web design for domestic market,62012,Web page designing,IT Services
our business is it consulting in my village,62020,Computer consultancy,IT Services
dhaba food stall,56101,Restaurants,Hospitality
we have a fashion designer in india,74101,Fashion design,Professional
the company is engaged in honey production,1492,Bee-keeping and production of honey,Agriculture
our business is money lending as msme,64920,Other credit granting,Finance
i am doing pesticide manufacturing for local market,20211,Manufacture of insecticides,Manufacturing
we have a plastic product manufacturing in my village,22201,Manufacture of semi-finished plastic products,Manufacturing
we are into call centre bpo in my city,82200,Activities of call centres,IT Services
we have a pesticide manufacturing for export,20211,Manufacture of insecticides,Manufacturing
we do mobile phone manufacturing,26305,Manufacture of pagers cellular phones,Manufacturing
the company is engaged in solar energy plant in my city,35105,Electric power generation using solar energy,Energy
dance music class,85420,Cultural education,Education
mango orchard in my village,1221,Growing of mangoes,Agriculture
our business is sweet shop making mithai for domestic market,10734,Manufacture of sweetmeats,Manufacturing
i am doing wooden furniture unit in my village,31001,Manufacture of furniture of wood,Manufacturing
business activity: embroidery work for export,13991,Embroidery work and making of laces,Manufacturing
my work is real estate developer for domestic market,41001,Construction of buildings,Construction
industry: brassware manufacturing for local market,25994,Manufacture of metal household articles,Manufacturing
business activity: sugar manufacturing,10721,Manufacture of sugar from sugarcane,Manufacturing
we do civil engineer consultant at home,71100,Architectural and engineering activities,Professional
we deal in mobile phone repair,95120,Repair of communication equipment,Services
our business is milk powder making as msme,10502,Manufacture of milk powder,Manufacturing
this unit is involved in diagnostic lab pathology in my city,86905,Activities of diagnostic laboratories,Healthcare
noodles and pasta manufacturing on small scale,10740,Manufacture of macaroni and noodles,Manufacturing
mineral water plant,11043,Manufacture of mineral water,Manufacturing
we deal in homeopathic medicine for domestic market,21004,Manufacture of homoeopathic pharmaceutical preparations,Manufacturing
cable tv operator,61103,Activities of cable operators,IT Services
coal mining on small scale,5101,Opencast mining of hard coal,Mining
i do surgical cotton bandage making for export,21006,Manufacture of medical wadding gauze bandages,Manufacturing
this unit is involved in perfume making for domestic market,20234,Manufacture of perfumes,Manufacturing
we do we make plastic bags for local market,22203,Manufacture of plastic articles for packing,Manufacturing
our business is aquaculture freshwater for local market,3221,Fish farming in freshwater,Agriculture
our business is newspaper printing,18111,Printing of newspapers,Manufacturing
the company is engaged in my business is wheat cultivation,1111,Growing of wheat,Agriculture
this unit is involved in i grow potatoes in my village,1135,Growing of potatoes and tubers,Agriculture
our business is auto parts manufacturing,29301,Manufacture of motor vehicle parts,Manufacturing
business activity: dance music class for local market,85420,Cultural education,Education
we do goat farming at home,1441,Raising and breeding of sheep and goats,Agriculture
i make leather bags,15121,Manufacture of travel goods and bags,Manufacturing
i own a newspaper printing at home,18111,Printing of newspapers,Manufacturing
i run a it consulting as msme,62020,Computer consultancy,IT Services
my work is sports goods manufacturing,32300,Manufacture of sports goods,Manufacturing
we do mobile bike repair shop in my village,45403,Maintenance of motorcycles and scooters,Trade
i do college,85301,Higher education,Education
i run a gas agency cylinder,35202,Distribution and sale of gaseous fuels,Energy
shipping agent for local market,52292,Activities of shipping cargo agents,Transport
i run a detergent manufacturing for domestic market,20233,Manufacture of detergent,Manufacturing
business activity: i grow coconuts in my village,1261,Growing of coconut,Agriculture
business activity: we make electric vehicles,29101,Manufacture of passenger cars,Manufacturing
